u,v,weight
ABL1,ROS1,1.0
ABL1,RPP38,1.0
ABL1,RTN4,1.0
ABL1,RYBP,1.0
ABL1,SCARF2,1.0
ABL1,SEMA7A,1.0
ABL1,SEPN1,1.0
ABL1,SF3B4,1.0
ABL1,SFN,1.0
ABL1,SH3BP1,1.0
ABL1,SHB,1.0
ABL1,SHC1,1.0
ABL1,SHD,1.0
ABL1,SHE,1.0
ABL1,SLC22A3,1.0
ABL1,SLC24A1,1.0
ABL1,SLC9A2,1.0
ABL1,SNX12,1.0
ABL1,SNX17,1.0
ABL1,SNX3,1.0
ABL1,SNX8,1.0
ABL1,SORBS1,1.0
ABL1,SORBS2,1.0
ABL1,SORBS3,1.0
ABL1,SOS1,1.0
ABL1,SOS2,1.0
ABL1,SP1,1.0
ABL1,SPRR2A,1.0
ABL1,SPTA1,1.0
ABL1,SPTAN1,1.0
ABL1,SRC,1.0
ABL1,ST5,1.0
ABL1,STK4,1.0
ABL1,SUV39H2,1.0
ABL1,SYNJ2,1.0
ABL1,TERF1,1.0
ABL1,TGOLN2,1.0
ABL1,TLN2,1.0
ABL1,TMPO,1.0
ABL1,TOP1,1.0
ABL1,TOPBP1,1.0
ABL1,TP53,1.0
ABL1,TP73,1.0
ABL1,TRIM39,1.0
ABL1,TSKS,1.0
ABL1,TUB,1.0
ABL1,TULP4,1.0
ABL1,UHMK1,1.0
ABL1,VAV1,1.0
ABL1,VPREB1,1.0
ABL1,VPS13A,1.0
ABL1,WASF1,1.0
ABL1,WNK2,1.0
ABL1,XPO1,1.0
ABL1,XRCC6,1.0
ABL1,YTHDC1,1.0
ABL1,YWHAH,1.0
ABL1,YWHAZ,1.0
ABL1,ZAP70,1.0
ABL1,ZDHHC16,1.0
ABL2,BCR,1.0
ABL2,CAT,1.0
ABL2,CRK,1.0
ABL2,EGFR,1.0
ABL2,EPHB2,1.0
ABL2,ERBB2,1.0
ABL2,ERBB3,1.0
ABL2,ERBB4,1.0
ABL2,FYN,1.0
ABL2,GRB2,1.0
ABL2,HCK,1.0
ABL2,HRAS,1.0
ABL2,JAK1,1.0
ABL2,MAP3K10,1.0
ABL2,MED28,1.0
ABL2,NCK1,1.0
ABL2,PIK3R1,1.0
ABL2,PLCG1,1.0
ABL2,RIN1,1.0
ABL2,SORBS2,1.0
ABL2,SRC,1.0
ABL2,TRIP10,1.0
ABLIM1,ACTG1,1.0
ABLIM1,BEGAIN,1.0
ABLIM1,CALCOCO2,1.0
ABLIM1,GOLGA2,1.0
ABLIM1,HOOK2,1.0
ABLIM1,KCNJ12,1.0
ABLIM1,KRT15,1.0
ABLIM1,LDOC1,1.0
ABLIM1,PEX5,1.0
ABLIM1,PLSCR1,1.0
ABLIM1,SFN,1.0
ABLIM1,SREBF2,1.0
ABLIM1,TRAF2,1.0
ABLIM1,TSC22D4,1.0
ABLIM1,USHBP1,1.0
ABLIM1,VIM,1.0
ABLIM1,YWHAG,1.0
ABLIM2,SREBF2,1.0
ABLIM3,ACTC1,1.0
ABO,PON2,1.0
ABP1,DAO,1.0
ABP1,DNM2,1.0
ABP1,FGD1,1.0
ABR,ADRA1A,1.0
ABR,ERBB2IP,1.0
ABRA,ACTC1,1.0
ABT1,BYSL,1.0
ABT1,CIRH1A,1.0
ABT1,DCAF13,1.0
ABT1,DDX49,1.0
ABT1,DDX52,1.0
ABT1,DHX15,1.0
ABT1,DKC1,1.0
ABT1,EIF4E,1.0
ABT1,EMG1,1.0
ABT1,ERO1LB,1.0
ABT1,HIST1H2AH,1.0
ABT1,HIST2H4B,1.0
ABT1,IMP3,1.0
ABT1,IMP4,1.0
ABT1,KRR1,1.0
ABT1,MPHOSPH10,1.0
ABT1,MRPL2,1.0
ABT1,MVD,1.0
ABT1,NAT10,1.0
ABT1,NOC4L,1.0
ABT1,NOL10,1.0
ABT1,NOL6,1.0
ABT1,NOP56,1.0
ABT1,NOP58,1.0
ABT1,PPAT,1.0
ABT1,PRNP,1.0
ABT1,PSMA4,1.0
ABT1,PSMA6,1.0
ABT1,PSMA7,1.0
ABT1,RBM34,1.0
ABT1,RPF2,1.0
ABT1,RPLP2,1.0
ABT1,RRP9,1.0
ABT1,TBL3,1.0
ABT1,TBP,1.0
ABT1,UTP11L,1.0
ABT1,UTP15,1.0
ABT1,UTP18,1.0
