u,v,weight
ACACA,MLLT3,1.0
ACACA,MLYCD,1.0
ACACA,NPM1,1.0
ACACA,PRKAA2,1.0
ACACA,RDH11,1.0
ACACA,RDH12,1.0
ACACA,RDH13,1.0
ACACA,RDH14,1.0
ACACA,SIRT1,1.0
ACACA,SPCS1,1.0
ACACA,SREBF1,1.0
ACACB,ACAT1,1.0
ACACB,ACAT2,1.0
ACACB,ACLY,1.0
ACACB,ACOT12,1.0
ACACB,ACSS1,1.0
ACACB,ACSS2,1.0
ACACB,AKR1B10,1.0
ACACB,ALDH6A1,1.0
ACACB,CS,1.0
ACACB,DLAT,1.0
ACACB,FASN,1.0
ACACB,HADHB,1.0
ACACB,HLCS,1.0
ACACB,HMGCL,1.0
ACACB,HMGCS1,1.0
ACACB,HMGCS2,1.0
ACACB,HSD3B7,1.0
ACACB,MLYCD,1.0
ACACB,RDH11,1.0
ACACB,RDH12,1.0
ACACB,RDH13,1.0
ACACB,RDH14,1.0
ACACB,SPCS1,1.0
ACAD10,ELF1,1.0
ACAD10,NR2C2,1.0
ACAD8,FASTK,1.0
ACAD8,FOXA1,1.0
ACAD8,NR2C2,1.0
ACAD8,SLC27A5,1.0
ACAD8,STK11,1.0
ACAD8,TTK,1.0
ACAD8,ZNF143,1.0
ACAD9,ATF3,1.0
ACAD9,E2F6,1.0
ACAD9,ICT1,1.0
ACAD9,JUND,1.0
ACAD9,MAX,1.0
ACAD9,NRF1,1.0
ACAD9,OTUD7B,1.0
ACAD9,SLC27A5,1.0
ACADL,ZNF263,1.0
ACADM,ACSS1,1.0
ACADM,ACSS2,1.0
ACADM,ALDH6A1,1.0
ACADM,DBT,1.0
ACADM,ECHS1,1.0
ACADM,EHHADH,1.0
ACADM,HADHA,1.0
ACADM,HADHB,1.0
ACADM,MCCC1,1.0
ACADM,MCCC2,1.0
ACADM,NEK6,1.0
ACADM,PCCA,1.0
ACADM,PCCB,1.0
ACADM,RPS6KB1,1.0
ACADM,TYK2,1.0
ACADM,USP20,1.0
ACADM,USP50,1.0
ACADS,ACOX1,1.0
ACADS,ACOX3,1.0
ACADS,ACSM1,1.0
ACADS,DBT,1.0
ACADS,ECHS1,1.0
ACADS,EHHADH,1.0
ACADS,GCDH,1.0
ACADS,HADHA,1.0
ACADS,HADHB,1.0
ACADSB,CHD2,1.0
ACADSB,USP19,1.0
ACADSB,ZBTB33,1.0
ACADVL,ESR1,1.0
ACADVL,ICT1,1.0
ACADVL,ZNF143,1.0
ACAN,FBLN2,1.0
ACAN,LUM,1.0
ACAN,TNFAIP6,1.0
ACAN,TNR,1.0
ACAN,VCAN,1.0
ACAP1,IFFO1,1.0
ACAP2,NFYA,1.0
ACAP2,NFYB,1.0
ACAP2,PBX3,1.0
ACAP2,SP1,1.0
ACAP2,SP2,1.0
ACAP3,CEBPB,1.0
ACAP3,E2F1,1.0
ACAP3,EIF6,1.0
ACAT1,ACAT2,1.0
ACAT1,ACLY,1.0
ACAT1,ACOT12,1.0
ACAT1,ACSS1,1.0
ACAT1,ACSS2,1.0
ACAT1,AKR1B10,1.0
ACAT1,ALDH6A1,1.0
ACAT1,CS,1.0
ACAT1,DLAT,1.0
ACAT1,EHHADH,1.0
ACAT1,EIF1B,1.0
ACAT1,FASN,1.0
ACAT1,HADH,1.0
ACAT1,HADHB,1.0
ACAT1,HDAC5,1.0
ACAT1,HMGCL,1.0
ACAT1,HMGCS1,1.0
ACAT1,HMGCS2,1.0
ACAT1,HSD17B10,1.0
ACAT1,HSD17B4,1.0
ACAT1,HSD3B7,1.0
ACAT1,MLYCD,1.0
ACAT1,OXCT1,1.0
ACAT1,OXCT2,1.0
ACAT1,RDH11,1.0
ACAT1,RDH12,1.0
ACAT1,RDH13,1.0
ACAT1,RDH14,1.0
ACAT2,ACLY,1.0
ACAT2,ACOT12,1.0
ACAT2,ACSS1,1.0
ACAT2,ACSS2,1.0
ACAT2,AKR1B10,1.0
ACAT2,ALDH6A1,1.0
ACAT2,CS,1.0
